Jumlah,tanggal
1,22-08-2023
1,01-04-2021
25,15-02-2020
26,13-06-2020
27,17-02-2022
28,21-05-2023
1,07-06-2022
2,25-07-2023
1,31-01-2023
1,02-12-2020
5,30-08-2021
1,14-09-2022
2,17-09-2023
1,02-02-2021
1,22-11-2021
1,26-09-2023
1,28-09-2021
1,15-10-2020
2,10-02-2022
3,06-09-2022
1,12-10-2023
1,31-07-2021
1,24-08-2020
1,31-07-2021
2,27-11-2021
1,24-06-2022
2,14-08-2023
1,31-07-2021
1,27-11-2021
6,01-01-2020
7,25-01-2021
8,16-11-2022
2,11-01-2021
3,26-01-2022
1,13-08-2023
1,19-07-2020
3,15-07-2020
1,16-02-2023
2,13-06-2023
3,29-08-2023
1,13-08-2023
1,01-02-2020
1,01-11-2022
2,24-10-2023
1,30-05-2023
1,22-05-2021
1,02-03-2021
1,04-08-2022
2,18-05-2023
1,07-01-2023
1,07-01-2023
1,19-01-2022
1,20-12-2020
1,25-01-2023
2,02-04-2023
1,24-06-2022
1,24-06-2022
2,17-09-2023
1,11-02-2020
1,24-06-2022
1,31-12-2022
2,01-06-2023
1,31-12-2022
2,17-03-2023
1,31-12-2022
2,17-03-2023
3,01-06-2023
1,31-12-2022
1,13-09-2020
1,31-01-2020
1,01-06-2023
1,02-09-2023
1,26-01-2022
1,11-02-2020
1,26-03-2021
1,08-11-2021
1,19-08-2023
2,24-10-2023
1,22-09-2020
2,01-12-2020
3,17-05-2023
4,25-07-2023
1,17-08-2022
2,12-06-2022
3,19-03-2023
1,13-03-2023
1,14-02-2022
1,29-08-2023
1,06-09-2022
2,16-02-2023
1,09-09-2021
2,06-06-2023
1,22-11-2021
2,21-11-2022
1,29-08-2023
1,07-01-2023
2,13-02-2020
3,01-02-2021
4,08-12-2021
5,28-03-2022
6,08-10-2022
1,24-06-2022
1,14-10-2021
2,22-10-2022
3,19-10-2023
1,10-06-2023
1,02-03-2022
1,21-08-2023
1,26-10-2022
1,05-10-2020
1,28-12-2021
1,22-10-2022
2,14-01-2023
4,27-07-2023
5,16-10-2023
1,01-06-2023
1,16-09-2023
1,03-01-2022
1,29-09-2022
1,13-03-2023
1,19-11-2022
1,08-09-2022
2,13-03-2023
3,20-05-2023
4,24-10-2023
1,11-02-2020
1,27-08-2020
1,11-02-2020
1,01-11-2022
2,13-03-2023
1,08-03-2023
1,20-01-2021
1,07-02-2023
2,23-07-2023
3,02-10-2023
1,19-09-2023
1,03-08-2023
1,13-03-2023
1,02-08-2023
2,05-10-2023
1,16-10-2023
1,05-06-2021
1,23-12-2020
2,07-02-2023
1,27-10-2022
1,25-10-2022
1,22-09-2020
1,20-07-2023
1,01-01-2021
1,01-10-2023
1,20-06-2022
1,16-02-2023
1,05-10-2020
1,20-09-2021
2,14-02-2022
1,13-06-2023
1,06-09-2022
1,16-02-2023
1,20-09-2021
1,16-02-2023
1,20-09-2021
1,19-05-2022
1,19-02-2021
1,18-10-2022
